Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,
M.,Dorian,Blanchard,BillU,Paris,Département Commercial,B2B,Commercial,Pierre,David,PA82880,DELL,18/08/1991,0451967464,0655939808,
M.,Valentin,Bonnet,BillU,Paris,Département Commercial,B2B,Commercial,Pierre,David,PA90176,DELL,23/02/1987,0439648412,0799413599,
M.,Nathan,Dupont,BillU,Paris,Département Commercial,B2B,Commercial,Pierre,David,PA12427,DELL,01/02/1992,0109336075,0662152312,
M.,Theo,Fournier-Laval,BillU,Paris,Département Commercial,B2B,Commercial,Pierre,David,PA44614,DELL,16/12/1982,0181612961,0703432899,
M.,Kylian,Martinez,BillU,Paris,Département Commercial,Service achat,Responsable achat client,Pierre,David,PA19149,DELL,26/08/1988,0151530426,0696228844,
Mme,Latifa,Jean-Robert De Boisselier,BillU,Paris,Département Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA46917,DELL,02/09/1990,0114930105,0739063477,
M.,Arnoovik,Jlecht,BillU,Paris,Département Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA16353,DELL,19/11/2001,0124045383,0763236659,
Mme,Pauline,Lambert-Ilo,BillU,Paris,Département Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA37602,DELL,10/11/1987,0158406170,0606722898,
Mme,Jade,Lefèvre,BillU,Paris,Département Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA64810,DELL,16/11/1984,0180183734,0621673896,
M.,Pierre,David,BillU,Paris,Département Commercial,,Directeur commercial,Camille,Martin,PA90233,DELL,12/05/1997,0106664984,0765432109,
Mme,Alice,Benali,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19150,DELL,06/06/2000,0136235036,0612345678,
M.,Mehdi,Benkacem,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19151,DELL,10/10/1984,0122536980,0789452310,
Mme,Chloe,Dubois,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19154,DELL,20/03/1989,0199503648,0611223344,
M.,Nikolai,Ivanov,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19153,DELL,26/05/1977,0135114568,0722334455,
M.,Charles,Marchand,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA16013,DELL,29/04/1999,0167218515,0654606027,
Mme,Tara,Murphy,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19152,DELL,15/12/1996,0169452736,0698765432,
Mme,Mina,Nguyen,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19156,DELL,03/01/1981,0133205490,0600112233,
M.,Hassan,Rahman,BillU,Paris,Département Commercial,Service achat,Acheteur,Kylian,Martinez,PA19155,DELL,28/11/1990,0165849321,0766778899,
Mme,Leila,Amrani,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79820,DELL,17/12/1999,0139856399,0699887766,
M.,Sven,Andersson,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79819,DELL,12/07/2003,0125743260,0733221100,
M.,Omar,El-Masri,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79823,DELL,14/09/1996,0156245626,0709876543,
Mme,Julie,Francois D'Assise,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79817,DELL,23/09/1994,0136982369,0710203040,
M.,Jules,Girard,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA39395,DELL,25/01/1985,0163132039,0644556677,
Mme,Aya,Lemontel,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79818,DELL,23/03/1991,0123906243,0677889900,
Mme,Zara,Nasri,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79822,DELL,17/07/2001,0168513999,0623456789,
M.,Arjun,Patel,BillU,Paris,Département Commercial,Service Client,Agent,Kylian,Martinez,PA79821,DELL,21/04/1996,0142387006,0712345678,
Mme,Mélanie,Carpentier,BillU,Paris,Direction des ressources humaines,,Agent RH,Christophe,Leroux,PA31784,HP,09/08/1983,0183765728,0601234567,
Mme,Célia,Da Silva,BillU,Paris,Direction des ressources humaines,,Agent RH,Christophe,Leroux,PA66766,HP,31/07/1986,0498537902,0634567890,
M.,Christophe,Leroux,BillU,Paris,Direction des ressources humaines,,Responsable recrutement,Camille,Martin,PA20618,HP,10/05/1992,0163902409,0718273645,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
